AccountPk,TotalBalance,Expenses,EmploymentBasis,IncomeBand,State,FGF Score,Age,Age Group,Resilience_Score,Segment,Clustering
1092057,497.75,1346.833,NULL,70k - 80k,WA,407,40,36-40,0.369570689,Brass,Brass3
1092199,475.19,514.073,Casual Work,30k - 40k,QLD,419,50,46-50,0.924362882,Brass,Brass2
1092418,159.59,669.2623,Full Time Work,40k - 50k,QLD,313,35,31-35,0.238456581,Brass,Brass1
1092586,1.77,459.9123,Part Time Work,20k - 30k,SA,361,25,18-25,0.00384856,Brass,Brass3
1092879,2,543.7,NULL,30k - 40k,QLD,370,48,46-50,0.003678499,Brass,Brass3
1092888,9.85,658.88,Casual Work,50k - 60k,NT,314,51,51-55,0.014949611,Brass,Brass1
1092926,35.06,605.0361,Casual Work,30k - 40k,QLD,368,23,18-25,0.057946956,Brass,Brass2
1092987,947.41,577.5869,Full Time Work,30k - 40k,VIC,382,30,26-30,1.640289972,Brass,Brass2
1093013,54.2,519.69,Part Time Work,30k - 40k,NSW,372,44,41-45,0.104292944,Brass,Brass2
1093121,318.11,513.6761,NULL,40k - 50k,QLD,363,29,26-30,0.619281294,Brass,Brass2
1093274,464.59,701.57,Full Time Work,40k - 50k,VIC,451,34,31-35,0.662214747,Brass,Brass3
1093334,815.61,577.8392,Full Time Work,30k - 40k,WA,481,55,51-55,1.411482641,Brass,Brass3
1093507,126.93,424.9323,NULL,20k - 30k,WA,350,19,18-25,0.298706406,Brass,Brass1
1093558,147.6,794.6607,Full Time Work,40k - 50k,QLD,434,55,51-55,0.18573965,Brass,Brass3
1093687,0.16,581.5223,Full Time Work,30k - 40k,NSW,412,34,31-35,0.00027514,Brass,Brass2
1093733,212.07,1774.3915,NULL,90k - 100k,NSW,399,32,31-35,0.119517029,Brass,Brass3
1093816,53.78,613.2061,Part Time Work,40k - 50k,VIC,511,55,51-55,0.087702976,Brass,Brass3
1093920,352.8,728.28,Full Time Work,40k - 50k,WA,414,34,31-35,0.484429066,Brass,Brass2
1094175,273.26,874.59,Full Time Work,NULL,WA,354,25,18-25,0.312443545,Brass,Brass2
1094527,1596.44,1221.77,Full Time Work,80k - 90k,NSW,331,36,36-40,1.306661647,Brass,Brass2
1094863,1030.19,1045.0507,Part Time Work,20k - 30k,NSW,388,38,36-40,0.985779924,Brass,Brass1
1094992,249.26,843.85,NULL,50k - 60k,QLD,352,42,41-45,0.295384251,Brass,Brass1
1096269,38.84,903.4492,Full Time Work,50k - 60k,WA,427,37,36-40,0.042990796,Brass,Brass3
1096270,443.07,960.76,Full Time Work,50k - 60k,QLD,470,24,18-25,0.46116616,Brass,Brass3
1096527,628.14,461.1453,NULL,20k - 30k,QLD,403,22,18-25,1.362130331,Brass,Brass2
1096534,23.47,553.6107,NULL,40k - 50k,QLD,325,21,18-25,0.042394412,Brass,Brass2
1096839,396.99,641.3653,Full Time Work,40k - 50k,QLD,336,47,46-50,0.618976424,Brass,Brass2
1096990,22.59,881.06,Full Time Work,50k - 60k,NSW,405,31,31-35,0.025639571,Brass,Brass3
1097061,1723.07,1265.1619,Casual Work,100k+,QLD,378,41,41-45,1.361936366,Brass,Brass2
1097144,27.76,494.243,Full Time Work,30k - 40k,QLD,421,33,31-35,0.056166703,Brass,Brass2
1097446,241.43,789.69,NULL,40k - 50k,QLD,391,20,18-25,0.305727564,Brass,Brass3
1097498,675.89,1303.7315,Full Time Work,100k+,NSW,381,48,46-50,0.518427299,Brass,Brass3
1097539,2308.87,1012.6192,Full Time Work,50k - 60k,WA,416,21,18-25,2.280097,Brass,Brass2
1097578,684.46,995.3,Full Time Work,50k - 60k,VIC,482,41,41-45,0.687692153,Brass,Brass3
1097674,41.89,655.11,NULL,50k - 60k,NSW,372,46,46-50,0.06394346,Brass,Brass2
1097977,58.05,648.08,Full Time Work,90k - 100k,NT,321,41,41-45,0.089572275,Brass,Brass2
1097992,521.94,1185.785,Full Time Work,70k - 80k,VIC,390,35,31-35,0.440164111,Brass,Brass2
1098199,7.34,840.92,Full Time Work,50k - 60k,VIC,355,53,51-55,0.008728535,Brass,Brass3
1098432,213.97,599.7176,Casual Work,30k - 40k,VIC,404,19,18-25,0.356784593,Brass,Brass2
1098439,117.32,600,Part Time Work,30k - 40k,TAS,328,27,26-30,0.195533333,Brass,Brass2
1098951,1905.46,944.8715,Full Time Work,90k - 100k,NT,385,36,36-40,2.016634008,Brass,Brass2
1099064,195.51,531.9507,Full Time Work,50k - 60k,WA,481,31,31-35,0.367534059,Brass,Brass3
1099171,244.81,697,NULL,40k - 50k,QLD,375,35,31-35,0.351233859,Brass,Brass2
1099282,0.58,654.0146,NULL,50k - 60k,QLD,443,34,31-35,0.00088683,Brass,Brass3
1099410,2302.3,1114.1992,Casual Work,80k - 90k,QLD,453,28,26-30,2.066327098,Brass,Brass3
1099418,85.04,583.8946,Full Time Work,40k - 50k,QLD,331,21,18-25,0.145642724,Brass,Brass2
1099520,694.59,997.8376,Casual Work,100k+,QLD,329,25,18-25,0.696095236,Brass,Brass2
1099616,2.84,567,Part Time Work,30k - 40k,QLD,318,43,41-45,0.005008818,Brass,Brass2
1099691,441.71,901.4123,Full Time Work,50k - 60k,QLD,472,63,61-65,0.490019939,Brass,Brass2
1099729,342.91,649.1338,Full Time Work,40k - 50k,VIC,409,27,26-30,0.528257811,Brass,Brass2
1099883,771.82,453.7692,Casual Work,20k - 30k,VIC,393,37,36-40,1.700908744,Brass,Brass2
1099988,1580.57,708.67,Casual Work,30k - 40k,NSW,435,40,36-40,2.230332877,Brass,Brass2
1100039,0.2,705.1269,Full Time Work,80k - 90k,WA,415,57,56-60,0.000283637,Brass,Brass2
1100106,799.21,670.4107,Full Time Work,40k - 50k,QLD,325,26,26-30,1.192119995,Brass,Brass2
1100256,181.08,1319.53,Casual Work,70k - 80k,QLD,360,39,36-40,0.137230681,Brass,Brass2
1100294,7.09,2306.9169,Full Time Work,50k - 60k,VIC,390,28,26-30,0.003073366,Brass,Brass2
1100684,192.53,666.7776,Full Time Work,40k - 50k,NSW,399,42,41-45,0.288746953,Brass,Brass3
1100823,2036.9,1165.8146,Full Time Work,30k - 40k,VIC,353,32,31-35,1.747190334,Brass,Brass2
1100833,0.74,466.3,Part Time Work,30k - 40k,WA,372,21,18-25,0.001586961,Brass,Brass2
1100949,1395.26,967.1392,Full Time Work,40k - 50k,VIC,387,28,26-30,1.442667198,Brass,Brass2
1101173,0.02,697.2276,Full Time Work,40k - 50k,NSW,307,19,18-25,2.87E-05,Brass,Brass3
1101175,22.47,856.88,Full Time Work,50k - 60k,WA,413,50,46-50,0.026223042,Brass,Brass3
1101235,76.27,624.75,Casual Work,30k - 40k,TAS,376,36,36-40,0.122080832,Brass,Brass2
1101315,553.65,725.2723,Full Time Work,50k - 60k,SA,419,47,46-50,0.763368462,Brass,Brass3
1101528,191.55,791.77,Full Time Work,60k - 70k,QLD,402,44,41-45,0.241926317,Brass,Brass2
1101612,151.72,1223.5946,Full Time Work,70k - 80k,WA,427,40,36-40,0.123995317,Brass,Brass3
1101677,23.16,631,Full Time Work,40k - 50k,QLD,350,48,46-50,0.036703645,Brass,Brass2
1102135,149.02,660,Centrelink,40k - 50k,QLD,348,28,26-30,0.225787879,Brass,Brass2
1102280,29.97,883.29,Full Time Work,40k - 50k,QLD,446,39,36-40,0.033929966,Brass,Brass2
1102540,936.82,972.4384,Full Time Work,50k - 60k,VIC,409,22,18-25,0.963372076,Brass,Brass2
1102942,141.91,1067.8846,Full Time Work,50k - 60k,TAS,349,38,36-40,0.132888891,Brass,Brass2
1103226,0.82,711.8138,Self Employed,10k - 20k,TAS,432,46,46-50,0.001151987,Brass,Brass2
1103236,21.09,634.4434,NULL,30k - 40k,QLD,487,40,36-40,0.033241736,Brass,Brass3
1103313,317,697.9526,Part Time Work,40k - 50k,QLD,460,20,18-25,0.454185571,Brass,Brass3
1103328,1650.8,933.7484,Casual Work,60k - 70k,WA,377,54,51-55,1.767928063,Brass,Brass2
1103370,876.36,863.6176,Full Time Work,40k - 50k,VIC,350,23,18-25,1.014754678,Brass,Brass1
1103414,818.15,982.9142,Casual Work,50k - 60k,VIC,393,36,36-40,0.832371737,Brass,Brass2
1103438,120.19,668.4592,Part Time Work,30k - 40k,WA,370,38,36-40,0.17980155,Brass,Brass2
1103449,2679.46,936.6946,Full Time Work,50k - 60k,NSW,378,24,18-25,2.860548145,Brass,Brass3
1103598,466.72,1132.69,Full Time Work,60k - 70k,NT,359,32,31-35,0.412045661,Brass,Brass2
1103620,125.48,691.6138,Full Time Work,40k - 50k,VIC,350,29,26-30,0.181430735,Brass,Brass2
1103729,3.93,618.6123,Full Time Work,40k - 50k,WA,411,30,26-30,0.006352929,Brass,Brass3
1103771,94.81,793.95,Full Time Work,50k - 60k,QLD,383,43,41-45,0.11941558,Brass,Brass1
1103881,19.27,672.8876,Full Time Work,30k - 40k,WA,358,58,56-60,0.02863777,Brass,Brass2
1103929,581.92,714.6176,Full Time Work,40k - 50k,SA,444,38,36-40,0.814309639,Brass,Brass2
1104281,1527.86,879.46,Full Time Work,50k - 60k,QLD,407,47,46-50,1.737270598,Brass,Brass3
1104303,190.51,1207.2707,Full Time Work,NULL,NSW,453,22,18-25,0.157802223,Brass,Brass3
1104321,170,810.98,Full Time Work,50k - 60k,VIC,369,28,26-30,0.209622925,Brass,Brass2
1104387,231.88,791,Full Time Work,40k - 50k,WA,382,48,46-50,0.293147914,Brass,Brass2
1104814,110.61,973.2623,Part Time Work,40k - 50k,NSW,425,41,41-45,0.113648705,Brass,Brass2
1104819,238.16,522.66,Full Time Work,30k - 40k,QLD,472,51,51-55,0.455669077,Brass,Brass2
1104856,221.64,553.6153,Casual Work,30k - 40k,QLD,375,27,26-30,0.400350207,Brass,Brass2
1105027,139.68,874.4169,NULL,30k - 40k,WA,417,32,31-35,0.159740737,Brass,Brass2
1105066,332.52,635.31,Casual Work,50k - 60k,QLD,416,28,26-30,0.523398026,Brass,Brass3
1105166,1.78,853.543,NULL,30k - 40k,QLD,336,32,31-35,0.002085425,Brass,Brass2
1105336,2943.49,1211.7992,Self Employed,70k - 80k,VIC,362,32,31-35,2.429024545,Brass,Brass3
1105417,575.09,799.0415,Other,30k - 40k,VIC,502,52,51-55,0.71972482,Brass,Brass2
1105433,284.27,402.0469,Part Time Work,30k - 40k,VIC,372,26,26-30,0.707056814,Brass,Brass2
1105544,516.92,667.6869,Full Time Work,40k - 50k,VIC,379,35,31-35,0.77419521,Brass,Brass2
1105655,24.45,496.6461,Full Time Work,20k - 30k,VIC,416,42,41-45,0.049230227,Brass,Brass3
1105663,55.17,627.573,Part Time Work,50k - 60k,QLD,378,37,36-40,0.087910092,Brass,Brass2
1105746,486.47,591.015,Full Time Work,50k - 60k,VIC,358,40,36-40,0.823109397,Brass,Brass2
1105764,0.38,938.9007,Self Employed,50k - 60k,QLD,383,48,46-50,0.000404729,Brass,Brass2
1105878,0.17,685,Self Employed,30k - 40k,NSW,360,32,31-35,0.000248175,Brass,Brass2
1105894,1846.22,1062.3461,Full Time Work,60k - 70k,NSW,447,26,26-30,1.737870549,Brass,Brass3
1105939,789.34,700.65,Full Time Work,30k - 40k,VIC,450,27,26-30,1.126582459,Brass,Brass2
1105966,21.67,1011.903,Full Time Work,60k - 70k,WA,411,42,41-45,0.021415096,Brass,Brass3
1105999,953.72,729.1707,Full Time Work,60k - 70k,VIC,394,37,36-40,1.307951622,Brass,Brass3
1106062,602.34,909.3653,Full Time Work,50k - 60k,WA,398,51,51-55,0.662374076,Brass,Brass3
1106104,1290.51,1281.2638,Full Time Work,NULL,VIC,437,33,31-35,1.007216469,Brass,Brass3
1106507,589.41,835.1057,NULL,50k - 60k,WA,394,26,26-30,0.705790896,Brass,Brass3
1106661,1314.84,1007.8338,Full Time Work,90k - 100k,VIC,357,21,18-25,1.304619869,Brass,Brass3
1106676,756.2,482.2,Full Time Work,50k - 60k,WA,379,28,26-30,1.568228951,Brass,Brass2
1106697,519.37,764.04,Full Time Work,40k - 50k,VIC,405,39,36-40,0.679768075,Brass,Brass2
1106857,1944.98,584.3661,NULL,30k - 40k,WA,489,27,26-30,3.328358712,Brass,Brass2
1106994,208.01,655.9246,Casual Work,30k - 40k,NSW,444,36,36-40,0.317124865,Brass,Brass2
1107157,40,583.9361,Full Time Work,40k - 50k,QLD,398,24,18-25,0.068500646,Brass,Brass2
1107182,53.51,797.4507,Full Time Work,NULL,NSW,368,23,18-25,0.067101327,Brass,Brass2
1107214,142.5,724.3615,Full Time Work,60k - 70k,QLD,374,28,26-30,0.196724978,Brass,Brass1
1107224,918.52,534.9246,Full Time Work,50k - 60k,NT,313,25,18-25,1.717101812,Brass,Brass3
1107311,91.81,694.9423,Full Time Work,60k - 70k,QLD,366,42,41-45,0.132111688,Brass,Brass2
1107502,4904.16,554.3123,Full Time Work,30k - 40k,QLD,494,28,26-30,8.84728699,Brass,Brass3
1107564,1.54,820.9692,Full Time Work,40k - 50k,QLD,346,57,56-60,0.001875832,Brass,Brass2
1107664,718.75,1288.8561,Full Time Work,100k+,VIC,333,31,31-35,0.557665049,Brass,Brass2
1107723,617.4,740.2507,Full Time Work,50k - 60k,QLD,533,50,46-50,0.834041764,Brass,Brass3
1107729,114.8,821.81,Full Time Work,50k - 60k,VIC,382,46,46-50,0.139691656,Brass,Brass2
1107741,745.68,557.3446,Full Time Work,20k - 30k,QLD,378,42,41-45,1.337915537,Brass,Brass2
1107863,150.44,884.4615,Full Time Work,40k - 50k,QLD,321,34,31-35,0.170092197,Brass,Brass1
1107882,0.2,605.3707,NULL,30k - 40k,VIC,389,42,41-45,0.000330376,Brass,Brass3
1107888,356.16,812.5915,Full Time Work,60k - 70k,VIC,305,39,36-40,0.43830141,Brass,Brass1
1107890,907.6,688.93,Part Time Work,40k - 50k,QLD,436,38,36-40,1.317405252,Brass,Brass3
1108002,318.24,720.2157,Full Time Work,40k - 50k,QLD,355,22,18-25,0.441867624,Brass,Brass1
1108036,128.62,976.6569,Casual Work,60k - 70k,TAS,374,35,31-35,0.13169415,Brass,Brass1
1108179,289.06,1001.63,Part Time Work,50k - 60k,VIC,378,33,31-35,0.288589599,Brass,Brass2
1108473,1.39,1299.8,Full Time Work,70k - 80k,QLD,415,50,46-50,0.001069395,Brass,Brass2
1108554,16.08,435.4969,Casual Work,40k - 50k,QLD,363,36,36-40,0.03692334,Brass,Brass2
1108659,2.63,639.3507,Casual Work,20k - 30k,NSW,379,46,46-50,0.004113548,Brass,Brass2
1108715,682.92,1095.6573,Full Time Work,60k - 70k,QLD,359,27,26-30,0.623297084,Brass,Brass2
1108771,12.49,1012.4807,Full Time Work,40k - 50k,NSW,474,30,26-30,0.012336038,Brass,Brass3
1108822,568.69,921.78,Full Time Work,50k - 60k,NSW,378,29,26-30,0.616947645,Brass,Brass2
1108833,221.67,1074.6,Full Time Work,60k - 70k,WA,464,43,41-45,0.206281407,Brass,Brass1
1109010,1039.75,954.2661,Full Time Work,50k - 60k,NSW,369,28,26-30,1.089580778,Brass,Brass3
1109074,193.88,742.17,Centrelink,50k - 60k,NSW,406,25,18-25,0.261233949,Brass,Brass2
1109253,4225.64,663.0046,Part Time Work,40k - 50k,NSW,370,24,18-25,6.373470109,Brass,Brass2
1109313,198.89,536.67,Casual Work,30k - 40k,QLD,391,19,18-25,0.370600183,Brass,Brass2
1109333,409.07,748.8615,Full Time Work,40k - 50k,QLD,355,19,18-25,0.546255883,Brass,Brass3
1109437,234.99,618.385,Part Time Work,30k - 40k,QLD,354,24,18-25,0.380005983,Brass,Brass2
1109445,1167.52,776.23,Full Time Work,40k - 50k,NSW,426,29,26-30,1.504090283,Brass,Brass2
1109531,43.85,1054.2,Casual Work,60k - 70k,VIC,358,31,31-35,0.041595523,Brass,Brass2
1109566,212.08,804.0484,Full Time Work,70k - 80k,QLD,418,39,36-40,0.263765216,Brass,Brass3
1109590,108.18,1144.59,Self Employed,60k - 70k,NSW,460,53,51-55,0.094514193,Brass,Brass3
1109600,622.08,918.67,Casual Work,60k - 70k,QLD,421,36,36-40,0.677152841,Brass,Brass3
1109928,1230.89,542.8423,Casual Work,30k - 40k,QLD,388,41,41-45,2.267490945,Brass,Brass2
1109929,40.3,795.2438,Full Time Work,30k - 40k,NSW,377,23,18-25,0.050676283,Brass,Brass3
1109945,278.57,712.43,Full Time Work,60k - 70k,NSW,373,35,31-35,0.391013854,Brass,Brass2
1109947,36.73,537.2007,Part Time Work,30k - 40k,NT,394,52,51-55,0.068372956,Brass,Brass3
1110123,452.12,958.7492,Full Time Work,60k - 70k,QLD,390,27,26-30,0.471572753,Brass,Brass3
1110230,11.07,847.75,Full Time Work,50k - 60k,NSW,388,25,18-25,0.013058095,Brass,Brass3
1110244,35.05,494.9353,Casual Work,30k - 40k,SA,338,31,31-35,0.070817337,Brass,Brass2
1110249,230.46,681.053,NULL,30k - 40k,QLD,361,29,26-30,0.338387761,Brass,Brass1
1110285,5.15,730.68,NULL,50k - 60k,SA,388,24,18-25,0.007048229,Brass,Brass3
1110303,134.22,486.6892,Casual Work,40k - 50k,TAS,356,36,36-40,0.275781751,Brass,Brass2
1110527,101.2,1117.4453,Full Time Work,30k - 40k,VIC,402,23,18-25,0.090563717,Brass,Brass2
1110645,490.4,627.5492,Full Time Work,40k - 50k,SA,443,38,36-40,0.781452673,Brass,Brass1
1110650,280.15,689.7438,Full Time Work,40k - 50k,NSW,416,20,18-25,0.406165304,Brass,Brass3
1110710,13.69,814.393,Full Time Work,10k - 20k,VIC,399,31,31-35,0.016810066,Brass,Brass2
1110744,0.17,605.0107,Full Time Work,40k - 50k,QLD,404,52,51-55,0.000280987,Brass,Brass2
1110844,1383.38,1011.7507,NULL,90k - 100k,NT,456,45,41-45,1.367313114,Brass,Brass3
1111151,28.27,935.7746,Full Time Work,NULL,QLD,328,27,26-30,0.030210266,Brass,Brass3
1111193,784.23,706.5538,NULL,40k - 50k,VIC,439,44,41-45,1.10993671,Brass,Brass2
1111219,2374.93,457.3346,Full Time Work,50k - 60k,WA,301,30,26-30,5.192981244,Brass,Brass2
1111275,16.29,1354.5769,Full Time Work,90k - 100k,QLD,368,37,36-40,0.012025895,Brass,Brass2
1111365,90.17,748.1603,Full Time Work,50k - 60k,QLD,369,35,31-35,0.1205223,Brass,Brass2
1111484,1416.87,789.3869,Full Time Work,60k - 70k,VIC,423,31,31-35,1.794899307,Brass,Brass2
1111535,75.12,857.0476,Full Time Work,50k - 60k,QLD,447,52,51-55,0.087649741,Brass,Brass1
1111643,1498.07,1229.3953,Full Time Work,70k - 80k,WA,396,28,26-30,1.218542156,Brass,Brass2
1111727,4922.26,857.1092,Full Time Work,40k - 50k,NSW,393,44,41-45,5.74286217,Brass,Brass1
1111742,793.52,1238.1146,Full Time Work,60k - 70k,QLD,410,26,26-30,0.640909977,Brass,Brass3
1111787,0.07,810.2069,Casual Work,50k - 60k,VIC,368,33,31-35,8.64E-05,Brass,Brass2
1111788,50.64,763.6307,Casual Work,50k - 60k,NSW,388,31,31-35,0.066314778,Brass,Brass2
1111951,249.3,523.86,Casual Work,30k - 40k,SA,422,44,41-45,0.475890505,Brass,Brass2
1111999,361.26,480.5907,Full Time Work,20k - 30k,NSW,366,41,41-45,0.751699939,Brass,Brass2
1112000,693.83,1367.2461,Casual Work,NULL,QLD,423,27,26-30,0.507465335,Brass,Brass2
1112101,39.01,466.4623,Casual Work,30k - 40k,QLD,406,20,18-25,0.083629481,Brass,Brass2
1112229,154.16,1927.3876,Full Time Work,80k - 90k,ACT,435,44,41-45,0.079983912,Brass,Brass1
1112260,1295.02,540.9784,Full Time Work,40k - 50k,NSW,390,27,26-30,2.393847887,Brass,Brass3
1112318,559.66,586.88,Full Time Work,40k - 50k,VIC,440,28,26-30,0.953619138,Brass,Brass3
1112427,309.42,580,Full Time Work,30k - 40k,VIC,446,48,46-50,0.533482759,Brass,Brass2
1112557,809.08,1012.1234,Full Time Work,50k - 60k,SA,427,29,26-30,0.799388691,Brass,Brass3
1112572,406.66,901.3761,Full Time Work,50k - 60k,SA,416,49,46-50,0.451154629,Brass,Brass2
1112604,95.01,655.8807,Full Time Work,50k - 60k,NSW,356,24,18-25,0.144858661,Brass,Brass3
1112651,52.17,712.33,Full Time Work,30k - 40k,QLD,430,25,18-25,0.073238527,Brass,Brass2
1112664,117.39,708.4669,Full Time Work,40k - 50k,QLD,354,40,36-40,0.165695814,Brass,Brass2
1112676,38.59,504.5769,Casual Work,30k - 40k,QLD,361,25,18-25,0.076479918,Brass,Brass2
1112718,159.88,662.6957,Part Time Work,40k - 50k,WA,385,45,41-45,0.241257035,Brass,Brass2
1112822,0.36,1189.385,Full Time Work,70k - 80k,WA,504,49,46-50,0.000302677,Brass,Brass3
1112929,161.91,1609.1892,Full Time Work,90k - 100k,WA,499,27,26-30,0.100615888,Brass,Brass3
1112945,132.3,899.2123,Full Time Work,50k - 60k,QLD,420,26,26-30,0.14712877,Brass,Brass3
1112993,0.03,861.71,Full Time Work,50k - 60k,QLD,391,24,18-25,3.48E-05,Brass,Brass3
1113041,561.51,1184.6223,Full Time Work,40k - 50k,NSW,414,23,18-25,0.473999181,Brass,Brass2
1113075,0.09,895.04,Full Time Work,50k - 60k,VIC,352,52,51-55,0.000100554,Brass,Brass2
1113107,309.79,653.4876,Full Time Work,40k - 50k,TAS,348,28,26-30,0.474056432,Brass,Brass2
1113125,576.66,832.283,Full Time Work,40k - 50k,QLD,502,40,36-40,0.692865287,Brass,Brass3
1113306,883.67,1506.8715,Part Time Work,50k - 60k,SA,436,39,36-40,0.586426912,Brass,Brass1
1113603,865.83,1379.3007,Part Time Work,20k - 30k,NSW,361,23,18-25,0.627731139,Brass,Brass2
1113756,164.77,727.7976,Full Time Work,50k - 60k,QLD,370,31,31-35,0.22639536,Brass,Brass2
1113844,229.54,1005.95,Part Time Work,70k - 80k,NSW,412,34,31-35,0.228182315,Brass,Brass2
1114018,271.71,862.49,Full Time Work,60k - 70k,QLD,365,25,18-25,0.315029739,Brass,Brass2
1114110,50.04,810.64,Full Time Work,50k - 60k,QLD,342,32,31-35,0.061729004,Brass,Brass2
1114128,62.61,812.7761,Full Time Work,50k - 60k,NSW,470,55,51-55,0.077032285,Brass,Brass1
1114170,180.72,647.935,Full Time Work,40k - 50k,WA,430,62,61-65,0.278916867,Brass,Brass2
1114309,194.62,784.2692,Full Time Work,50k - 60k,NSW,377,18,18-25,0.248154588,Brass,Brass2
1114507,17.63,1494.8988,NULL,80k - 90k,SA,501,41,41-45,0.01179344,Brass,Brass3
1114641,869.32,674.54,Full Time Work,30k - 40k,QLD,386,20,18-25,1.288759747,Brass,Brass3
1114683,169.81,833.97,Full Time Work,60k - 70k,NSW,414,40,36-40,0.203616437,Brass,Brass3
1114865,51.13,516.8476,Self Employed,NULL,VIC,413,44,41-45,0.098926647,Brass,Brass2
1114978,224.15,782.4276,Full Time Work,50k - 60k,QLD,371,23,18-25,0.28648018,Brass,Brass3
1115206,2982.53,1819.6361,Casual Work,100k+,QLD,370,38,36-40,1.639080473,Brass,Brass3
1115284,195.08,534,Part Time Work,30k - 40k,TAS,401,28,26-30,0.365318352,Brass,Brass2
1115471,21.75,736.4569,Part Time Work,0k - 10k,TAS,390,20,18-25,0.029533297,Brass,Brass2
